,Species,Group,United Kingdom,Vietnam,Australia,New Zealand,Indonesia,Malaysia,Thailand,Spain,Comments,Favourites,Image link
,House Swift,Hirundines,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158679021/900
,Asian Koel,,,,,,,,TRUE,,,TRUE,https://zolimacitymag.com/wp-content/uploads/2021/03/Asian-Koel_feeding_Meera-Jhogasundram_zolima-citymag.jpg
,Black Collared Starling,Corvids Starlings and Thrushes,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158657451/1800
,Black Crowned Night Heron,Herons and Egrets,,,,,,,TRUE,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304988121/1800
,Ashy Woodswallow,Hirundines,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133719971/1800
,White Breasted Waterhen,Crakes and Rails,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126392311/1800
,Greater Coucal,,,,,,,,TRUE,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126393221/1800
,Greater Racket Tailed Drongo,,,,,,,,TRUE,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126547991/1800
,Black Crested Bulbul,Bulbuls,,,,,,,TRUE,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85684471/
,Purple Sunbird,,,,,,,,TRUE,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126385421/1800
,Stripe Throated Bulbul,Bulbuls,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223452431/1800
,Red Collared Dove,Doves and Pigeons,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85868861/1800
,White Rumped Munia,Sparrows and Finches,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133941271/1800
,Asian Openbill,,,,,,,,TRUE,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133718611/1800
,Asian Pied Starling,Corvids Starlings and Thrushes,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133719541/1800
,Pied Fantail,,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/378983431/1800
,Coppersmith Barbet,,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126555661/1800
,Black Winged Stilt,Waders,,,,,,,TRUE,,,,https://www.thainationalparks.com/img/species/2020/08/18/396059/black-winged-stilt-w-1500.jpg
,Griffon Vulture,Vultures,,,,,,,,TRUE,,,
,Egyptian Vulture,Vultures,,,,,,,,TRUE,,,
,White Stork,,,,,,,,,TRUE,,,
,Marsh Harrier,Birds of Prey,TRUE,,,,,,,TRUE,,,
,Common Sandpiper,Waders,TRUE,,,,,,,TRUE,,,
,Cetti's Warbler,,TRUE,,,,,,,TRUE,,,
,Common Swift,Hirundines,TRUE,,,,,,,TRUE,,,
,House Martin,Hirundines,TRUE,,,,,,,TRUE,,,
,Barn Swallow,Hirundines,TRUE,,,,,,,TRUE,,,
,Coal Tit,Tits,TRUE,,,,,,,TRUE,,,
,Crested Tit,Tits,,,,,,,,TRUE,,,
,Short Toed Treecreeper,,,,,,,,,TRUE,,,
,European Goldfinch,Sparrows and Finches,TRUE,,,,,,,TRUE,,,
,Great Tit,Tits,TRUE,,,,,,,TRUE,,,
,Grey Wagtail,,TRUE,,,,,,,TRUE,,,
,Eurasian Blackcap,,TRUE,,,,,,,TRUE,,,
,Sand Martin,Hirundines,TRUE,,,,,,,TRUE,,,
,Black Redstart,,TRUE,,,,,,,TRUE,,,
,Long Tailed Tit,Tits,TRUE,,,,,,,TRUE,,,
,White Wagtail,,TRUE,,,,,,,TRUE,,,
,Eurasian Jay,Corvids Starlings and Thrushes,TRUE,,,,,,,TRUE,,,
,Western Subalpine Warbler,,,,,,,,,TRUE,,,
,Red Billed Chough,Corvids Starlings and Thrushes,TRUE,,,,,,,TRUE,,,
,Collared Dove,Doves and Pigeons,TRUE,,,,,,,TRUE,,,
,Monk Parakeet,Parrots and Cockatoos etc,,,,,,,,TRUE,,,
,Rose Ringed Parakeet,Parrots and Cockatoos etc,,,,,,,,TRUE,,,
,Wood Pigeon,Doves and Pigeons,TRUE,,,,,,,TRUE,,,
,Grey Heron,Herons and Egrets,TRUE,,,,,,,TRUE,,,
,Eurasian Hoopoe,,,,,,,,,TRUE,,,
,Eurasian Skylark,,TRUE,,,,,,,TRUE,,,
,Spotted Flycatcher,,TRUE,,,,,,,TRUE,,,
