,Species,Group,United Kingdom,Vietnam,Australia,New Zealand,Indonesia,Malaysia,Thailand,Spain,Comments,Favourites,Image link
,Australian Pied Cormorant,Cormorants and Shags,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/116569241/1800
,Silver Gull,Gulls and Terns,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110144521/1800
,Sooty Oystercatcher,Waders,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/246750531/
,Pied Oystercatcher,Waders,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122311761/1800
,Sanderling,Waders,TRUE,,TRUE,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/Calidris_alba_-_Laem_Phak_Bia.jpg
,White Faced Heron,Herons and Egrets,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117370621/1800
,Australasian Swamp Hen ,Crakes and Rails,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117373331/1800
,Dusky Moorhen,Crakes and Rails,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122302351/1800
,Eurasian Coot,Crakes and Rails,TRUE,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/44601541/1800
,Black Shouldered Kite,Birds of Prey,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121538981/1800
,Nankeen Kestrel,Birds of Prey,,,TRUE,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/81/Falco_cenchroides_-_Bushell%27s_Lagoon.jpg
,Crested Pigeon,Doves and Pigeons,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122169901/1800
,Welcome Swallow,Hirundines,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117504911/1800
,Brown Treecreeper,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/123614961/1800
,Pied Currawong,Corvids Starlings and Thrushes,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125703661/1800
,Australian Magpie,Corvids Starlings and Thrushes,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117501201/1800
,Magpie Lark,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125802621/1800
,Silver Eye,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117506381/1800
,Common Starling,Corvids Starlings and Thrushes,TRUE,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/303929131/1800
,Common Blackbird,Corvids Starlings and Thrushes,TRUE,,TRUE,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/44584641/1800
,Red Browed Finch,Sparrows and Finches,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125933071/1800
,House Sparrow,Sparrows and Finches,TRUE,,TRUE,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9b/House_sparrow_male_in_Prospect_Park_%2853532%29.jpg
,Eastern Whipbird,,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125654841/1800
,Canada Goose,Ducks Geese and Swans,TRUE,,,TRUE,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/40/Canada_goose_on_Seedskadee_NWR_%2827826185489%29.jpg
,Paradise Shelduck,Ducks Geese and Swans,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110240061/1800
,New Zealand Scaup,Ducks Geese and Swans,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110123721/1800
,Kererū,Doves and Pigeons,,,,TRUE,,,,,,TRUE,https://www.visitzealandia.com/portals/0/Images/Birds/Kereru-Brendon-Doran.jpg
,Weka,Crakes and Rails,,,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223499431/1800
,Pūkeko,Crakes and Rails,,,,TRUE,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/44/Porphyrio_porphyrio_-Waikawa%2C_Marlborough%2C_New_Zealand-8.jpg
,South Island Takahē,Crakes and Rails,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110138261/1800
,New Zealand Dabchick,Ducks Geese and Swans,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/342293371/1800
,Variable Oystercatcher,Waders,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110139911/1800
,South Island Pied Oystercatcher,Waders,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110138841/1800
,Pied Stilt,Waders,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117373471/1800
,Masked Lapwing,Waders,,,TRUE,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117374591/1800
,Bar Tailed Godwit,Waders,TRUE,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/46320861/900
,Red Billed Gull,Gulls and Terns,,,,TRUE,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Chroicocephalus_novaehollandiae_scopulinus%2C_Kaik%C5%8Dura%2C_New_Zealand_08.jpg
,Southern Black Backed Gull,Gulls and Terns,,,,TRUE,,,,,,,https://nzbirdsonline.org.nz/sites/all/files/Black%20bill%20gull%20copy.jpg
,White Fronted Tern,Gulls and Terns,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117487661/1800
,Caspian Tern,Gulls and Terns,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/308394951/1800
,Northern Royal Albatross,,,,,TRUE,,,,,,TRUE,https://nzbirdsonline.org.nz/sites/all/files/IMG_4027.jpg
,Fluttering Shearwater,,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/116476711/1800
,Australasian Gannet,,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/116562371/1800
,Spotted Shag,Cormorants and Shags,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110243671/1800
,Otago Shag,Cormorants and Shags,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/206007771/
,New Zealand King Shag,Cormorants and Shags,,,,TRUE,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2c/New_zealand_king_shag.jpg
,Royal Spoonbill,,,,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117371791/1800
,Swamp Harrier,Birds of Prey,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117372031/1800
,New Zealand Falcon,Birds of Prey,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110148331/1800
,Sacred Kingfisher,Kingfishers,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117490281/1800
,Kākā,Parrots and Cockatoos etc,,,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110149211/1800
,Tūī,,,,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223399971/1800
,North Island Saddleback,,,,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110235381/900
,New Zealand Bellbird,,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110232981/1800
,Whitehead,,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110233811/1800
,New Zealand Fantail,,,,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110236131/1800
,North Island Robin ,,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223329251/1800
,South Island Robin,,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/188767471/1800
,Chaffinch,Sparrows and Finches,TRUE,,,TRUE,,,,TRUE,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Chaffinch_%28Fringilla_coelebs%29.jpg/1200px-Chaffinch_%28Fringilla_coelebs%29.jpg
,Australian White Ibis,,,,TRUE,,,,,,,TRUE,https://particle.scitech.org.au/wp-content/uploads/2021/12/GettyImages-1069611670-1.jpg
,Little Corella,Parrots and Cockatoos etc,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122709071/1800
,Greater Crested Tern,Gulls and Terns,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122568491/1800
,Australian Brush Turkey,,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121407271/1800
,White Cheeked Honeyeater,Honeyeaters,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125390001/1800
,Little Wattlebird,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/124421421/1800
,Australian Raven,Corvids Starlings and Thrushes,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125819411/1800
,Willie Wagtail,,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125799231/1800
,Pacific Swift,Hirundines,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158861431/1800
,Lewin's Honeyeater,Honeyeaters,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/124415371/1800
,Fan Tailed Cuckoo,,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122298341/1800
,Striated Heron,Herons and Egrets,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/56638961/1800
,Whistling Kite,Birds of Prey,,,TRUE,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Haliastur_sphenurus_2_-_Pitt_Town.jpg
,White Bellied Sea Eagle,Birds of Prey,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121678791/1800
,Eastern Osprey,Birds of Prey,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60320581/1800
,Rufous Fantail,,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125800551/1800
,Eastern Reef Egret,Herons and Egrets,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117370921/1800
,Blue Faced Honeyeater,Honeyeaters,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125391221/1800
,Tree Martin,Hirundines,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125925451/1800
,Pied Butcherbird,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125702261/1800
,Australian Pelican ,,,,TRUE,,,,,,,TRUE,https://media.australian.museum/media/dd/images/australian_pelicans.f03ba4a.width-800.a91c827.jpg
,Whimbrel ,Waders,TRUE,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/301232671/1800
,Little Curlew,Waders,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158684751/1800
,Bush Stone Curlew,Waders,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122310541/1800
,Peaceful Dove,Doves and Pigeons,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122178411/1800
,Torresian Imperial Pigeon,Doves and Pigeons,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122289351/1800
,White Breasted Woodswallow,Hirundines,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/398398381/1200
,Scaly Breasted Munia,Sparrows and Finches,,,TRUE,,TRUE,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/97646291/1800
,Rainbow Bee Eater,Bee Eaters,,,TRUE,,,,,,,TRUE,https://birdlife.org.au/wp-content/uploads/2022/11/Kelvin-Marshall-Rainbow-bee-eater-1.jpg
,Orange Footed Scrub Fowl,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/244175871/1800
,Black Butcherbird,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/61960641/
,Metallic Starling ,Corvids Starlings and Thrushes,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/288887951/
,Azure Kingfisher,Kingfishers,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121680561/1800
,Eastern Great Egret,Herons and Egrets,,,TRUE,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Ardea_modesta.jpg
,Green Oriole ,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125794871/1800
,Forest Kingfisher,Kingfishers,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121682041/1800
,Brahminy Kite,Birds of Prey,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121676231/1800
,Leaden Flycatcher,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125815221/1800
,Hornbill Friarbird,,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125406161/1800
,Olive Backed Sunbird,,,,TRUE,,TRUE,,TRUE,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125932001/1800
,Shining Flycatcher,,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/398440801/1200
,Little Kingfisher,Kingfishers,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121680971/1800
,Eastern Cattle Egret,Herons and Egrets,,,TRUE,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/42866641/1800
,Black Bittern,Herons and Egrets,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145128521/1800
,Southern Cassowary,,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121400271/1800
,Radjah Shelduck,Ducks Geese and Swans,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121402671/1800
,Australian Swiftlet,Hirundines,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/298762681/
,Spangled Drongo,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125798661/1800
,Pale Yellow Robin,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125910931/1800
,Large Billed Gerygone,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125546741/1800
,Bar Shouldered Dove,Doves and Pigeons,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122178741/1800
,Papuan Frogmouth,,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/172297141/1800
,Red Capped Plover,Waders,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122133881/1800
,Indian Peafowl,,TRUE,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/97326781/1800
,Brown Cuckoo Dove,Doves and Pigeons,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/238397511/
,Rufous Shrike Thrush,Corvids Starlings and Thrushes,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125785811/1800
,Yellow Vented Bulbul,Bulbuls,,,,,TRUE,TRUE,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223452631/1800
,Javan Munia,Sparrows and Finches,,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/321244021/
,Javan Kingfisher,Kingfishers,,,,,TRUE,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/438434641/
,Fork Tailed Swift,Hirundines,,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/142837391/1800
,Pacific Swallow,Hirundines,,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158861301/1800
,Striated Swallow,Hirundines,,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/157502851/900
,Zitting Cisticola,,,,,,TRUE,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/256553441/1800
,Golden Headed Cisticola,,,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/300207401/1800
,Collared Kingfisher,Kingfishers,,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/146400601/1800
,Scarlet Headed Flower Pecker,,,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255232291/1800
,Little Egret,Herons and Egrets,TRUE,,,,TRUE,,,TRUE,,,https://upload.wikimedia.org/wikipedia/commons/f/f1/Little_egret_%28Egretta_garzetta%29_Photograph_by_Shantanu_Kuveskar.jpg
,Javan Pond Heron,Herons and Egrets,,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/219753041/900
,Sooty Headed Bulbul,Bulbuls,,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223452411/1800
,White Capped Munia,Sparrows and Finches,,,,,TRUE,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/143019641/1800
,Chestnut Breasted Malkoha,,,,,,TRUE,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/148175621/
,Plain Prinia,,,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126403111/1800
,Javan Myna,,,,,,TRUE,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158683931/1800
,House Crow,Corvids Starlings and Thrushes,,,,,,TRUE,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126364851/1800
,Asian Glossy Starling,Corvids Starlings and Thrushes,,,,,,TRUE,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158502461/1800
,Brown Throated Sunbird,Sunbirds,,,,,,TRUE,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/239021721/1800
,Oriental Magpie Robin,,,,,,,TRUE,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126371241/1800
,Black Naped Oriole,,,,,,,TRUE,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/147997061/1800
,Pink Necked Green Pigeon,Doves and Pigeons,,,,,,TRUE,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/219466701/1800
,Common Iora,,,,,,,TRUE,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/593208311/1200
,White Throated Kingfisher,Kingfishers,,,,,,TRUE,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126564101/1800
,Superb Starling,Corvids Starlings and Thrushes,,,,,,TRUE,,,Escapee,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/247082291/1800
,Crimon Winged Woodpecker,,,,,,,TRUE,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/221152371/1800
,Painted Stork,,,,,,,TRUE,,,,,https://upload.wikimedia.org/wikipedia/commons/3/39/Painted_stork_%28Mycteria_leucocephala%29_Bundala.jpg
,Asian Fairy Bluebird,,,,,,,,TRUE,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/300066481/
,Large Billed Crow,Corvids Starlings and Thrushes,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85864161/1800
,Crested Serpent Eagle,Birds of Prey,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85869891/1800
,Grey Headed Fish Eagle,Birds of Prey,,,,,,,TRUE,,,,https://singaporebirds.com/wp-content/uploads/2021/07/grey-headed-fish-eagle-190926-120nd500-fyp_7019-n.jpg
,Little Spiderhunter,,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/156742891/1200
,Black Headed Bulbul,Bulbuls,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/187385431/1800
,White Rumped Shama,,,,,,,,TRUE,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/97323461/1800
,Great Iora,,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/177809201/1800
,Red Bearded Bee Eater,Bee Eaters,,,,,,,TRUE,,,TRUE,https://blog.nationalgeographic.org/wp-content/uploads/2020/02/Red-bearded-Bee-eater-Nyctyornis-amictus-perakmalaysia-Photographed-by-Kelvin-Low-.jpg
,Black and Red Broadbill,,,,,,,,TRUE,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/221917761/1800
,Red Throated Barbet,,,,,,,,TRUE,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/221147761/1800
,Bar Winged Flycatcher Shrike,,,,,,,,TRUE,,,TRUE,https://2.bp.blogspot.com/-OwxO9jmBdVM/WfCM5GxNaYI/AAAAAAAASQk/P0pBgUmCGaIm42Q3XR4Up-sl4e-ItkYVQCLcBGAs/s1600/Bar-winged%2Bflycatcher-shrike%2B-%2BHemipus%2Bpicatus3.jpg
