,Species,Lifer?,Group,Vietnam?,Australia?,New Zealand?,Bali?,KL?,Thailand?,Comments,Favourite?
,New Zealand Bellbird,TRUE,,,,TRUE,,,,,
,Whitehead,TRUE,,,,TRUE,,,,,
,New Zealand Fantail,TRUE,Fantails,,,TRUE,,,,,TRUE
,North Island Robin ,TRUE,Robins,,,TRUE,,,,,
,South Island Robin,TRUE,Robins,,,TRUE,,,,,
,Chaffinch,FALSE,Sparrows and Finches,,,TRUE,,,,,
,Australian White Ibis,TRUE,,,TRUE,,,,,,TRUE
,Little Corella,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,
,Greater Crested Tern,TRUE,Terns,,TRUE,,,,,,TRUE
,Australian Brush Turkey,TRUE,,,TRUE,,,,,,TRUE
,White Cheeked Honeyeater,TRUE,Honeyeaters,,TRUE,,,,,,
,Little Wattlebird,TRUE,Wattlebirds,,TRUE,,,,,,
,Australian Raven,TRUE,Corvids,,TRUE,,,,,,
,Willie Wagtail,TRUE,Wagtails,,TRUE,,,,,,TRUE
,Pacific Swift,TRUE,Hirundines,,TRUE,,,,,,
,Lewin's Honeyeater,TRUE,Honeyeaters,,TRUE,,,,,,
,Fan Tailed Cuckoo,TRUE,Cuckoos,,TRUE,,,,,,TRUE
,Striated Heron,TRUE,Herons and Egrets,,TRUE,,,,,,
,Whistling Kite,TRUE,Birds of Prey,,TRUE,,,,,,
,White Bellied Sea Eagle,TRUE,Birds of Prey,,TRUE,,,,,,TRUE
,Eastern Osprey,TRUE,Birds of Prey,,TRUE,,,,,,
,Rufous Fantail,TRUE,Fantails,,TRUE,,,,,,TRUE
,Eastern Reef Egret,TRUE,Herons and Egrets,,TRUE,,,,,,
,Blue Faced Honeyeater,TRUE,Honeyeaters,,TRUE,,,,,,TRUE
,Tree Martin,TRUE,Hirundines,,TRUE,,,,,,
,Pied Butcherbird,TRUE,Butcherbirds,,TRUE,,,,,,
,Australian Pelican ,TRUE,,,TRUE,,,,,,TRUE
,Whimbrel ,FALSE,Waders,,TRUE,,,,,,
,Little Curlew,TRUE,Waders,,TRUE,,,,,,
,Bush Stone Curlew,TRUE,Waders,,TRUE,,,,,,TRUE
,Peaceful Dove,TRUE,Doves and Pigeons,,TRUE,,,,,,
,Torresian Imperial Pigeon,TRUE,Doves and Pigeons,,TRUE,,,,,,
,White Breasted Woodswallow,TRUE,Hirundines,,TRUE,,,,,,TRUE
,Scaly Breasted Munia,TRUE,Sparrows and Finches,,TRUE,,TRUE,,,,TRUE
,Rainbow Bee Eater,TRUE,Bee Eaters,,TRUE,,,,,,TRUE
,Orange Footed Scrub Fowl,TRUE,,,TRUE,,,,,,
,Black Butcherbird,TRUE,Butcherbirds,,TRUE,,,,,,
,Metallic Starling ,TRUE,Starlings,,TRUE,,,,,,TRUE
,Azure Kingfisher,TRUE,Kingfishers,,TRUE,,,,,,
,Eastern Great Egret,TRUE,Herons and Egrets,,TRUE,,,,,,
,Green Oriole ,TRUE,Orioles,,TRUE,,,,,,
,Forest Kingfisher,TRUE,Kingfishers,,TRUE,,,,,,
,Brahminy Kite,TRUE,Birds of Prey,,TRUE,,,,,,TRUE
,Leaden Flycatcher,TRUE,Flycatchers,,TRUE,,,,,,
,Hornbill Friarbird,TRUE,Friarbirds,,TRUE,,,,,,TRUE
,Olive Backed Sunbird,TRUE,Sunbirds,,TRUE,,TRUE,,TRUE,,TRUE
,Shining Flycatcher,TRUE,Flycatchers,,TRUE,,,,,,TRUE
,Little Kingfisher,TRUE,Kingfishers,,TRUE,,,,,,TRUE
,Eastern Cattle Egret,TRUE,Herons and Egrets,,TRUE,,TRUE,,,,
,Black Bittern,TRUE,Herons and Egrets,,TRUE,,,,,,TRUE
,Southern Cassowary,TRUE,,,TRUE,,,,,,TRUE
,Radjah Shelduck,TRUE,Ducks and Grebes,,TRUE,,,,,,
,Australian Swiftlet,TRUE,Hirundines,,TRUE,,,,,,
,Spangled Drongo,TRUE,Drongos,,TRUE,,,,,,
,Pale Yellow Robin,TRUE,Robins,,TRUE,,,,,,
,Large Billed Gerygone,TRUE,,,TRUE,,,,,,
,Bar Shouldered Dove,TRUE,Doves and Pigeons,,TRUE,,,,,,
,Papuan Frogmouth,TRUE,,,TRUE,,,,,,TRUE
,Red Capped Plover,TRUE,Waders,,TRUE,,,,,,
,Indian Peafowl,FALSE,,,TRUE,,,,,,
,Brown Cuckoo Dove,TRUE,Doves and Pigeons,,TRUE,,,,,,TRUE
,Rufous Shrike Thrush,TRUE,Thrushes,,TRUE,,,,,,
,Yellow Vented Bulbul,TRUE,Bulbuls,,,,TRUE,TRUE,TRUE,,
,Javan Munia,TRUE,Sparrows and Finches,,,,TRUE,,,,
,Javan Kingfisher,TRUE,Kingfishers,,,,TRUE,,,,TRUE
,Fork Tailed Swift,TRUE,Hirundines,,,,TRUE,,,,
,Pacific Swallow,TRUE,Hirundines,,,,TRUE,,,,
,Striated Swallow,TRUE,Hirundines,,,,TRUE,,,,
,Zitting Cisticola,TRUE,Cisticolas,,,,TRUE,,,,TRUE
,Golden Headed Cisticola,TRUE,Cisticolas,,,,TRUE,,,,
,Collared Kingfisher,TRUE,Kingfishers,,,,TRUE,,,,
,Scarlet Headed Flower Pecker,TRUE,,,,,TRUE,,,,
,Little Egret,FALSE,Herons and Egrets,,,,TRUE,,,,
,Javan Pond Heron,TRUE,Herons and Egrets,,,,TRUE,,,,
,Sooty Headed Bulbul,TRUE,Bulbuls,,,,TRUE,,,,
,White Capped Munia,TRUE,Sparrows and Finches,,,,TRUE,,,,TRUE
,Chestnut Breasted Malkoha,TRUE,,,,,TRUE,,,,TRUE
,Plain Prinia,TRUE,,,,,TRUE,,,,
,Javan Myna,TRUE,Mynas,,,,TRUE,,TRUE,,
,House Crow,TRUE,Corvids,,,,,TRUE,,,
,Asian Glossy Starling,TRUE,Starlings,,,,,TRUE,,,
,Brown Throated Sunbird,TRUE,Sunbirds,,,,,TRUE,,,TRUE
,Oriental Magpie Robin,TRUE,Robins,,,,,TRUE,TRUE,,
,Black Naped Oriole,TRUE,Orioles,,,,,TRUE,,,TRUE
,Pink Necked Green Pigeon,TRUE,Doves and Pigeons,,,,,TRUE,,,TRUE
,Common Iora,TRUE,Ioras,,,,,TRUE,,,
,White Throated Kingfisher,TRUE,Kingfishers,,,,,TRUE,,,
,Superb Starling,TRUE,Starlings,,,,,TRUE,,Escapee,TRUE
,Crimon Winged Woodpecker,TRUE,Woodpeckers,,,,,TRUE,,,TRUE
,Painted Stork,TRUE,Storks,,,,,TRUE,,,
,Asian Fairy Bluebird,TRUE,,,,,,,TRUE,,TRUE
,Large Billed Crow,TRUE,Corvids,,,,,,TRUE,,
,Crested Serpent Eagle,TRUE,Birds of Prey,,,,,,TRUE,,
,Grey Headed Fish Eagle,TRUE,Birds of Prey,,,,,,TRUE,,
,Little Spiderhunter,TRUE,,,,,,,TRUE,,
,Black Headed Bulbul,TRUE,Bulbuls,,,,,,TRUE,,
,White Rumped Shama,TRUE,,,,,,,TRUE,,TRUE
,Great Iora,TRUE,Ioras,,,,,,TRUE,,
,Red Bearded Bee Eater,TRUE,Bee Eaters,,,,,,TRUE,,TRUE
,Black and Red Broadbill,TRUE,,,,,,,TRUE,,TRUE
,Red Throated Barbet,TRUE,Barbets,,,,,,TRUE,,TRUE
,Bar Winged Flycatcher Shrike,TRUE ,,,,,,,TRUE,,TRUE
,House Swift,TRUE,Hirundines,,,,,,TRUE,,
,Asian Koel,TRUE,Cuckoos,,,,,,TRUE,,TRUE
,Black Collared Starling,TRUE,Starlings,,,,,,TRUE,,
,Black Crowned Night Heron,TRUE,Herons and Egrets,,,,,,TRUE,,TRUE
,Ashy Woodswallow,TRUE,Hirundines,,,,,,TRUE,,
,White Breasted Waterhen,TRUE,Crakes and Rails,,,,,,TRUE,,
,Greater Coucal,TRUE,Cuckoos,,,,,,TRUE,,TRUE
,Greater Racket Tailed Drongo,TRUE,Drongos,,,,,,TRUE,,TRUE
,Black Crested Bulbul,TRUE,Bulbuls,,,,,,TRUE,,TRUE
,Purple Sunbird,TRUE,Sunbirds,,,,,,TRUE,,TRUE
,Stripe Throated Bulbul,TRUE,Bulbuls,,,,,,TRUE,,
,Red Collared Dove,TRUE,Doves and Pigeons,,,,,,TRUE,,
,White Rumped Munia,TRUE,Sparrows and Finches,,,,,,TRUE,,
,Asian Openbill,TRUE,Storks,,,,,,TRUE,,TRUE
,Little Heron,TRUE,Herons and Egrets,,,,,,TRUE,,
,Asian Pied Starling,TRUE,Starlings,,,,,,TRUE,,
,Pied Fantail,TRUE,Fantails,,,,,,TRUE,,
,Coppersmith Barbet,TRUE,Barbets,,,,,,TRUE,,
,Black Winged Stilt,TRUE,Waders,,,,,,TRUE,,
